species,site,year,max
ANOC,RL,2013,0.962505942143727
ANOC,RL,2014,0.276649427335356
ANOC,RL,2015,-0.0645563196261185
ANOC,RL,2016,-0.09126627324401
ANOC,RL,2017,2.68661813187236
ANOC,RL,2018,-0.0375395570645488
ANOC,RL,2019,0.399116548109177
ASLE,GB,2015,1.17662539928067
ASLE,GB,2016,3.69219158351212
ASLE,GB,2017,1.51432077367476
ASLE,GB,2018,1.45806544409647
ASLE,GB,2019,2.99133529806411
CAMI,GB,2015,2.55952171338303
CAMI,GB,2016,0.107013443453986
CAMI,GB,2017,5.07291951422708
CAMI,GB,2018,2.14587103420636
CAMI,GB,2019,2.76564622750367
CAPA,RL,2013,3.45107416172593
CAPA,RL,2014,1.04982387226069
CAPA,RL,2015,0.117596034725399
CAPA,RL,2016,2.0072082378063
CAPA,RL,2017,3.30765374099707
CAPA,RL,2018,0.563595833702059
CAPA,RL,2019,0.0674013392372545
ERGR,GB,2015,3.23378843959746
ERGR,GB,2016,8.72187013566509
ERGR,GB,2017,0.838601942726735
ERGR,GB,2018,3.74463581808885
ERGR,GB,2019,1.56692723679578
ERMO,RL,2013,3.35021925917932
ERMO,RL,2014,1.4479654009755
ERMO,RL,2015,-2.0575954715406
ERMO,RL,2016,0.410037802514965
ERMO,RL,2017,0.824378576245066
ERMO,RL,2018,2.16225291766056
ERMO,RL,2019,1.33442239189805
ERPE,RL,2013,1.91707651257177
ERPE,RL,2014,1.58108168802572
ERPE,RL,2015,-0.430171976724372
ERPE,RL,2016,10.5010574451054
ERPE,RL,2017,0.439560123802526
ERPE,RL,2018,2.66022379047847
ERPE,RL,2019,5.32973976869261
LUAR,GB,2015,0.861359044694945
LUAR,GB,2016,2.11522969165228
LUAR,GB,2017,1.84659587083607
LUAR,GB,2018,0.62979678672102
LUAR,GB,2019,2.02658302876743
LUAR,RL,2013,4.76799100839855
LUAR,RL,2014,2.32631236391013
LUAR,RL,2015,-1.09822290977129
LUAR,RL,2016,7.96083778020466
LUAR,RL,2017,9.74562314642337
LUAR,RL,2018,1.36676212786834
LUAR,RL,2019,4.36332616706231
PEBR,GB,2015,1.23959614441924
PEBR,GB,2016,3.3556677948403
PEBR,GB,2017,2.04994446486204
PEBR,GB,2018,1.91571147633314
PEBR,GB,2019,0.732702113561055
PEBR,RL,2013,0.933420269429821
PEBR,RL,2014,-0.194666476761514
PEBR,RL,2015,-0.217610661475935
PEBR,RL,2016,1.57635611287891
PEBR,RL,2017,2.17401054755901
PEBR,RL,2018,-0.0686872676818362
PEBR,RL,2019,2.46823625505201
VASI,GB,2015,-0.240341413816279
VASI,GB,2016,2.58774835874235
VASI,GB,2017,0.286111534198554
VASI,GB,2018,0.659924443034373
VASI,GB,2019,1.78092211752156
VASI,RL,2013,1.16663261385629
VASI,RL,2014,0.244742914236942
VASI,RL,2015,0.276718034259999
VASI,RL,2016,4.64546469628939
VASI,RL,2017,2.56177775442939
VASI,RL,2018,2.65571940044568
VASI,RL,2019,1.45631652375837
